Week_Ending,VCIO_Name,Client_Name,Hours_Spent,Notes
2025-10-27,Lisa,Acme Manufacturing,4.5,QBR prep and delivery
2025-10-27,Lisa,BlueSky Retail,2.1,Quick check-in call
2025-10-27,Lisa,CoreTech Solutions,8.2,Major project planning
2025-10-27,Lisa,GreenLeaf Logistics,1.8,Email support
2025-10-27,Lisa,Innovate Systems,3.9,Security review
2025-10-27,Lisa,KeyStone Financial,5.2,Monthly business review
2025-10-27,Lisa,Metro Manufacturing,7.1,Infrastructure planning
2025-10-27,Mike,DataFlow Inc,3.8,Monthly review
2025-10-27,Mike,EastCoast Medical,9.5,Infrastructure planning
2025-10-27,Mike,Finance Pro Group,2.4,Quick troubleshooting
2025-10-27,Mike,HealthTech Partners,6.7,HIPAA compliance review
2025-10-27,Mike,JumpStart Media,2.9,Network assessment
2025-10-27,Mike,Logistics Plus,4.1,Backup verification
2025-10-20,Lisa,Acme Manufacturing,3.2,Follow-up from last week
2025-10-20,Lisa,BlueSky Retail,1.8,Email support
2025-10-20,Lisa,CoreTech Solutions,6.5,Project kickoff
2025-10-20,Lisa,GreenLeaf Logistics,2.1,Strategic planning call
2025-10-20,Lisa,Innovate Systems,4.2,Vendor coordination
2025-10-20,Lisa,KeyStone Financial,4.8,Security incident response
2025-10-20,Lisa,Metro Manufacturing,6.8,QBR preparation
2025-10-20,Mike,DataFlow Inc,4.1,Security review
2025-10-20,Mike,EastCoast Medical,7.8,Vendor coordination
2025-10-20,Mike,Finance Pro Group,3.1,Compliance documentation
2025-10-20,Mike,HealthTech Partners,5.9,Monthly review
2025-10-20,Mike,JumpStart Media,3.2,Infrastructure assessment
2025-10-20,Mike,Logistics Plus,3.8,Strategic planning
2025-10-13,Lisa,Acme Manufacturing,4.8,Strategic planning session
2025-10-13,Lisa,BlueSky Retail,2.5,Incident response
2025-10-13,Lisa,CoreTech Solutions,7.1,Project oversight
2025-10-13,Lisa,GreenLeaf Logistics,1.5,Email updates
2025-10-13,Lisa,Innovate Systems,3.6,Monthly check-in
2025-10-13,Lisa,KeyStone Financial,5.5,Disaster recovery planning
2025-10-13,Lisa,Metro Manufacturing,8.2,Major upgrade project
2025-10-13,Mike,DataFlow Inc,3.5,Routine maintenance review
2025-10-13,Mike,EastCoast Medical,8.9,Critical system upgrade
2025-10-13,Mike,Finance Pro Group,2.8,Quick support call
2025-10-13,Mike,HealthTech Partners,6.2,Quarterly security assessment
2025-10-13,Mike,JumpStart Media,2.6,Follow-up tasks
2025-10-13,Mike,Logistics Plus,4.5,Network optimization
2025-10-06,Lisa,Acme Manufacturing,3.9,Project follow-up
2025-10-06,Lisa,BlueSky Retail,2.8,Strategic discussion
2025-10-06,Lisa,CoreTech Solutions,6.8,Implementation phase
2025-10-06,Lisa,GreenLeaf Logistics,1.2,Brief check-in
2025-10-06,Lisa,Innovate Systems,4.1,Security patch review
2025-10-06,Lisa,KeyStone Financial,4.9,Compliance preparation
2025-10-06,Lisa,Metro Manufacturing,7.5,Ongoing project work
2025-10-06,Mike,DataFlow Inc,3.9,Backup testing
2025-10-06,Mike,EastCoast Medical,9.2,Post-upgrade monitoring
2025-10-06,Mike,Finance Pro Group,2.5,Documentation update
2025-10-06,Mike,HealthTech Partners,5.8,Follow-up from assessment
2025-10-06,Mike,JumpStart Media,3.1,Network monitoring review
2025-10-06,Mike,Logistics Plus,3.7,Monthly business review
